reference Smarter;reference SunDevice;IDP;Model;Capacity;Color;Grade
25-ECO7351;;48250;iPhone SE;16;Grey;D
25-ECO7352;;48255;iPhone SE;32;Grey;D
25-ECO7353;;48274;iPhone SE;64;Grey;D
25-ECO7354;;71986;iPhone SE;128;Grey;D
25-ECO7359;;48287;iPhone SE;16;Pink;D
25-ECO7360;;48259;iPhone SE;32;Pink;D
25-ECO7361;;48248;iPhone SE;64;Pink;D
25-ECO7362;;71996;iPhone SE;128;Pink;D
25-GOL7307;;62189;iPhone SE;16;Gold;A
25-GOL7308;;62214;iPhone SE;32;Gold;A
25-GOL7309;;66567;iPhone SE;64;Gold;A
25-GOL7310;;72004;iPhone SE;128;Gold;A
25-GOL7323;;48277;iPhone SE;16;Gold;B
25-GOL7324;;48249;iPhone SE;32;Gold;B
25-GOL7325;;48265;iPhone SE;64;Gold;B
25-GOL7326;;72003;iPhone SE;128;Gold;B
25-GOL7339;;48278;iPhone SE;16;Gold;C
25-GOL7340;;48251;iPhone SE;32;Gold;C
25-GOL7341;;48267;iPhone SE;64;Gold;C
25-GOL7342;;72002;iPhone SE;128;Gold;C
25-GOL7355;;48282;iPhone SE;16;Gold;D
25-GOL7356;;48252;iPhone SE;32;Gold;D
25-GOL7357;;48268;iPhone SE;64;Gold;D
25-GOL7358;;72001;iPhone SE;128;Gold;D
25-MED7315;;48269;iPhone SE;16;Silver;B
25-MED7316;;48261;iPhone SE;32;Silver;B
25-MED7317;;48280;iPhone SE;64;Silver;B
25-MED7318;;72008;iPhone SE;128;Silver;B
25-MED7319;;48243;iPhone SE;16;Grey;B
25-MED7320;;48253;iPhone SE;32;Grey;B
25-MED7321;;48271;iPhone SE;64;Grey;B
25-MED7322;;71993;iPhone SE;128;Grey;B
25-MED7327;;48285;iPhone SE;16;Pink;B
25-MED7328;;48257;iPhone SE;32;Pink;B
25-MED7329;;48244;iPhone SE;64;Pink;B
25-MED7330;;71998;iPhone SE;128;Pink;B
25-PRE7299;;62195;iPhone SE;16;Silver;A
25-PRE7300;;62216;iPhone SE;32;Silver;A
25-PRE7301;;62222;iPhone SE;64;Silver;A
25-PRE7302;;72010;iPhone SE;128;Silver;A
25-PRE7303;;62177;iPhone SE;16;Grey;A
25-PRE7304;;62196;iPhone SE;32;Grey;A
25-PRE7305;;62220;iPhone SE;64;Grey;A
25-PRE7306;;71994;iPhone SE;128;Grey;A
25-PRE7311;;62180;iPhone SE;16;Pink;A
25-PRE7312;;62207;iPhone SE;32;Pink;A
25-PRE7313;;62221;iPhone SE;64;Pink;A
25-PRE7314;;71999;iPhone SE;128;Pink;A
26-BAS7381;;19538;iPhone 6 Plus;16;Silver;C
26-BAS7382;;16061;iPhone 6 Plus;64;Silver;C
26-BAS7383;;74767;iPhone 6 Plus;128;Silver;C
26-BAS7384;;14600;iPhone 6 Plus;16;Grey;C
26-BAS7385;;16062;iPhone 6 Plus;64;Grey;C
26-BAS7386;;74762;iPhone 6 Plus;128;Grey;C
