IDP;Model;Capacity;Color;Grade;Last purchase price in USD;Floor Price 
9660;iPhone 5S;16;Silver;Grade C;$53.92;56.57 
16051;iPhone 5S;32;Silver;Grade C;$58.82;60.90 
16272;iPhone 5S;64;Silver;Grade C;$63.73;65.25 
9659;iPhone 5S;16;Gold;Grade C;$53.92;56.57 
15952;iPhone 5S;32;Gold;Grade C;$58.82;60.90 
16443;iPhone 5S;64;Gold;Grade C;$63.73;65.25 
19458;iPhone 5S;16;Grey;Grade D;$53.92;56.57 
19474;iPhone 5S;32;Grey;Grade D;$58.82;60.90 
30502;iPhone 5S;64;Grey;Grade D;$63.73;65.25 
30516;iPhone 5S;16;Silver;Grade D;$53.92;56.57 
19483;iPhone 5S;32;Silver;Grade D;$58.82;60.90 
19491;iPhone 5S;64;Silver;Grade D;$63.73;65.25 
30505;iPhone 5S;16;Gold;Grade D;$53.92;56.57 
19479;iPhone 5S;32;Gold;Grade D;$58.82;60.90 
19487;iPhone 5S;64;Gold;Grade D;$63.73;65.25 
19457;iPhone 5S;16;Grey;Grade B;$83.33;82.59 
19473;iPhone 5S;32;Grey;Grade B;$83.33;82.59 
30503;iPhone 5S;64;Grey;Grade B;$100.80;98.05 
20481;iPhone 5S;16;Silver;Grade B;$83.33;82.59 
19482;iPhone 5S;32;Silver;Grade B;$83.33;82.59 
19490;iPhone 5S;64;Silver;Grade B;$101.00;98.23 
19461;iPhone 5S;16;Gold;Grade B;$83.33;82.59 
19477;iPhone 5S;32;Gold;Grade B;$83.33;82.59 
19486;iPhone 5S;64;Gold;Grade B;$100.80;98.05 
19658;iPhone 5S;16;Grey;Grade A;$100.80;98.05 
30513;iPhone 5S;64;Grey;Grade A;$115.00;110.62 
19466;iPhone 5S;16;Silver;Grade A;$100.80;98.05 
19481;iPhone 5S;32;Silver;Grade A;$100.80;98.05 
19489;iPhone 5S;64;Silver;Grade A;$81.60;81.06 
23863;iPhone 5S;16;Gold;Grade A;$100.80;98.05 
26776;iPhone 5S;32;Gold;Grade A;$98.00;95.58 
19485;iPhone 5S;64;Gold;Grade A;$115.20;110.80 
48247;iPhone SE;16;Grey;Grade C;$88.24;86.94 
48254;iPhone SE;32;Grey;Grade C;$98.04;95.61 
48273;iPhone SE;64;Grey;Grade C;$102.94;99.95 
71987;iPhone SE;128;Grey;Grade C;$112.75;108.63 
48286;iPhone SE;16;Pink;Grade C;$88.24;86.94 
48258;iPhone SE;32;Pink;Grade C;$98.04;95.61 
48245;iPhone SE;64;Pink;Grade C;$102.94;99.95 
71997;iPhone SE;128;Pink;Grade C;$112.75;108.63 
48272;iPhone SE;16;Silver;Grade C;$88.24;86.94 
48262;iPhone SE;32;Silver;Grade C;$98.04;95.61 
48281;iPhone SE;64;Silver;Grade C;$102.94;99.95 
72007;iPhone SE;128;Silver;Grade C;$112.75;108.63 
48278;iPhone SE;16;Gold;Grade C;$88.24;86.94 
48251;iPhone SE;32;Gold;Grade C;$98.04;95.61 
48267;iPhone SE;64;Gold;Grade C;$102.94;99.95 
72002;iPhone SE;128;Gold;Grade C;$112.75;108.63 
48250;iPhone SE;16;Grey;Grade D;$88.24;86.94 
48255;iPhone SE;32;Grey;Grade D;$98.04;95.61 
48274;iPhone SE;64;Grey;Grade D;$102.94;99.95 
71986;iPhone SE;128;Grey;Grade D;$112.75;108.63 
48287;iPhone SE;16;Pink;Grade D;$88.24;86.94 
48259;iPhone SE;32;Pink;Grade D;$98.04;95.61 
48248;iPhone SE;64;Pink;Grade D;$102.94;99.95 
71996;iPhone SE;128;Pink;Grade D;$112.75;108.63 
48275;iPhone SE;16;Silver;Grade D;$88.24;86.94 
48263;iPhone SE;32;Silver;Grade D;$98.04;95.61 
48283;iPhone SE;64;Silver;Grade D;$100.80;98.05 
72006;iPhone SE;128;Silver;Grade D;$112.75;108.63 
48282;iPhone SE;16;Gold;Grade D;$88.24;86.94 
48252;iPhone SE;32;Gold;Grade D;$98.04;95.61 
48268;iPhone SE;64;Gold;Grade D;$102.94;99.95 
72001;iPhone SE;128;Gold;Grade D;$112.75;108.63 
48243;iPhone SE;16;Grey;Grade B;$93.14;91.27 
48253;iPhone SE;32;Grey;Grade B;$117.65;112.96 
48271;iPhone SE;64;Grey;Grade B;$132.35;125.97 
71993;iPhone SE;128;Grey;Grade B;$142.16;134.65 
48285;iPhone SE;16;Pink;Grade B;$120.00;115.04 
48257;iPhone SE;32;Pink;Grade B;$129.60;123.54 
48244;iPhone SE;64;Pink;Grade B;$132.35;125.97 
71998;iPhone SE;128;Pink;Grade B;$163.20;153.27 
48269;iPhone SE;16;Silver;Grade B;$93.14;91.27 
48261;iPhone SE;32;Silver;Grade B;$124.80;119.29 
48280;iPhone SE;64;Silver;Grade B;$132.35;125.97 
72008;iPhone SE;128;Silver;Grade B;$158.40;149.03 
48277;iPhone SE;16;Gold;Grade B;$120.00;115.04 
48249;iPhone SE;32;Gold;Grade B;$117.65;112.96 
48265;iPhone SE;64;Gold;Grade B;$132.35;125.97 
72003;iPhone SE;128;Gold;Grade B;$142.16;134.65 
62177;iPhone SE;16;Grey;Grade A;$134.40;127.79 
62196;iPhone SE;32;Grey;Grade A;$132.35;125.97 
62220;iPhone SE;64;Grey;Grade A;$153.60;144.78 
71994;iPhone SE;128;Grey;Grade A;$177.60;166.02 
62180;iPhone SE;16;Pink;Grade A;$112.75;108.63 
62207;iPhone SE;32;Pink;Grade A;$144.00;136.28 
62221;iPhone SE;64;Pink;Grade A;$158.40;149.03 
71999;iPhone SE;128;Pink;Grade A;$182.40;170.27 
62195;iPhone SE;16;Silver;Grade A;$112.75;108.63 
62216;iPhone SE;32;Silver;Grade A;$139.20;132.04 
62222;iPhone SE;64;Silver;Grade A;$147.06;138.99 
72010;iPhone SE;128;Silver;Grade A;$177.60;166.02 
62189;iPhone SE;16;Gold;Grade A;$139.20;132.04 
62214;iPhone SE;32;Gold;Grade A;$144.00;136.28 
66567;iPhone SE;64;Gold;Grade A;$158.40;149.03 
72004;iPhone SE;128;Gold;Grade A;$182.40;170.27 
14600;iPhone 6 Plus;16;Grey;Grade C;$156.86;147.66 
16062;iPhone 6 Plus;64;Grey;Grade C;$161.76;152.00 
74762;iPhone 6 Plus;128;Grey;Grade C;$176.47;165.02 
19538;iPhone 6 Plus;16;Silver;Grade C;$156.86;147.66 
16061;iPhone 6 Plus;64;Silver;Grade C;$161.76;152.00 
74767;iPhone 6 Plus;128;Silver;Grade C;$176.47;165.02 
14601;iPhone 6 Plus;16;Gold;Grade C;$156.86;147.66 
16060;iPhone 6 Plus;64;Gold;Grade C;$161.76;152.00 
74757;iPhone 6 Plus;128;Gold;Grade C;$176.47;165.02 
19532;iPhone 6 Plus;16;Grey;Grade D;$137.59;130.61 
19545;iPhone 6 Plus;64;Grey;Grade D;$161.76;152.00 
74763;iPhone 6 Plus;128;Grey;Grade D;$176.47;165.02 
19540;iPhone 6 Plus;16;Silver;Grade D;$137.59;130.61 
19553;iPhone 6 Plus;64;Silver;Grade D;$161.76;152.00 
74768;iPhone 6 Plus;128;Silver;Grade D;$176.47;165.02 
26777;iPhone 6 Plus;16;Gold;Grade D;$137.59;130.61 
19549;iPhone 6 Plus;64;Gold;Grade D;$161.76;152.00 
74758;iPhone 6 Plus;128;Gold;Grade D;$176.47;165.02 
19530;iPhone 6 Plus;16;Grey;Grade B;$171.57;160.68 
19544;iPhone 6 Plus;64;Grey;Grade B;$176.47;165.02 
74761;iPhone 6 Plus;128;Grey;Grade B;$191.18;178.04 
14599;iPhone 6 Plus;16;Silver;Grade B;$171.57;160.68 
19552;iPhone 6 Plus;64;Silver;Grade B;$176.47;165.02 
74766;iPhone 6 Plus;128;Silver;Grade B;$196.80;183.01 
19535;iPhone 6 Plus;16;Gold;Grade B;$171.57;160.68 
19548;iPhone 6 Plus;64;Gold;Grade B;$176.47;165.02 
74756;iPhone 6 Plus;128;Gold;Grade B;$191.18;178.04 
37364;iPhone 6 Plus;16;Grey;Grade A;$187.20;174.51 
19543;iPhone 6 Plus;64;Grey;Grade A;$191.10;177.96 
74760;iPhone 6 Plus;128;Grey;Grade A;$205.88;191.04 
37358;iPhone 6 Plus;16;Silver;Grade A;$187.20;174.51 
19551;iPhone 6 Plus;64;Silver;Grade A;$196.80;183.01 
