reference;IDP;Model;Capacity;Color;Grade;Ireland Stock
83-MED995;80311;iPhone 8;256;Red;Grade B;0
83-MED996;80276;iPhone 8;64;Silver;Grade B;0
83-MED997;80296;iPhone 8;256;Silver;Grade B;6
83-MED998;80286;iPhone 8;64;Gold;Grade B;0
83-MED999;80306;iPhone 8;256;Gold;Grade B;0
83-PRE984;80280;iPhone 8;64;Grey;Grade A;1
83-PRE985;80300;iPhone 8;256;Grey;Grade A;2
83-PRE986;80290;iPhone 8;64;Red;Grade A;0
83-PRE987;80310;iPhone 8;256;Red;Grade A;0
83-PRE988;80275;iPhone 8;64;Silver;Grade A;0
83-PRE989;80295;iPhone 8;256;Silver;Grade A;0
83-PRE990;80285;iPhone 8;64;Gold;Grade A;0
83-PRE991;80305;iPhone 8;256;Gold;Grade A;1
86-BAS1032;80322;iPhone 8 Plus;64;Grey;Grade C;5
86-BAS1033;80342;iPhone 8 Plus;256;Grey;Grade C;9
86-BAS1034;80332;iPhone 8 Plus;64;Red;Grade C;0
86-BAS1035;80352;iPhone 8 Plus;256;Red;Grade C;0
86-BAS1036;80317;iPhone 8 Plus;64;Silver;Grade C;5
86-BAS1037;80337;iPhone 8 Plus;256;Silver;Grade C;7
86-BAS1038;80327;iPhone 8 Plus;64;Gold;Grade C;4
86-BAS1039;80347;iPhone 8 Plus;256;Gold;Grade C;9
86-ECO1040;80323;iPhone 8 Plus;64;Grey;Grade D;6
86-ECO1041;80343;iPhone 8 Plus;256;Grey;Grade D;4
86-ECO1042;80333;iPhone 8 Plus;64;Red;Grade D;0
86-ECO1043;80353;iPhone 8 Plus;256;Red;Grade D;0
86-ECO1044;80318;iPhone 8 Plus;64;Silver;Grade D;0
86-ECO1045;80338;iPhone 8 Plus;256;Silver;Grade D;8
86-ECO1046;80328;iPhone 8 Plus;64;Gold;Grade D;0
86-ECO1047;80348;iPhone 8 Plus;256;Gold;Grade D;3
86-MED1024;80321;iPhone 8 Plus;64;Grey;Grade B;0
86-MED1025;80340;iPhone 8 Plus;256;Grey;Grade B;1
86-MED1026;80331;iPhone 8 Plus;64;Red;Grade B;0
86-MED1027;80351;iPhone 8 Plus;256;Red;Grade B;0
86-MED1028;80316;iPhone 8 Plus;64;Silver;Grade B;5
86-MED1029;80336;iPhone 8 Plus;256;Silver;Grade B;0
86-MED1030;80326;iPhone 8 Plus;64;Gold;Grade B;0
86-MED1031;80346;iPhone 8 Plus;256;Gold;Grade B;0
86-PRE1016;80320;iPhone 8 Plus;64;Grey;Grade A;0
86-PRE1017;80339;iPhone 8 Plus;256;Grey;Grade A;2
86-PRE1018;80330;iPhone 8 Plus;64;Red;Grade A;0
86-PRE1019;80350;iPhone 8 Plus;256;Red;Grade A;0
86-PRE1020;80315;iPhone 8 Plus;64;Silver;Grade A;0
86-PRE1021;80335;iPhone 8 Plus;256;Silver;Grade A;0
86-PRE1022;80325;iPhone 8 Plus;64;Gold;Grade A;0
86-PRE1023;80345;iPhone 8 Plus;256;Gold;Grade A;3
87-BAS1056;80362;iPhone X;64;Grey;Grade C;5
87-BAS1057;80372;iPhone X;256;Grey;Grade C;12
87-BAS1058;80357;iPhone X;64;Silver;Grade C;5
87-BAS1059;80367;iPhone X;256;Silver;Grade C;16
87-ECO1060;80363;iPhone X;64;Grey;Grade D;0
87-ECO1061;80373;iPhone X;256;Grey;Grade D;2
87-ECO1062;80358;iPhone X;64;Silver;Grade D;0
87-ECO1063;80368;iPhone X;256;Silver;Grade D;1
87-MED1052;80361;iPhone X;64;Grey;Grade B;2
87-MED1053;80371;iPhone X;256;Grey;Grade B;5
87-MED1054;80356;iPhone X;64;Silver;Grade B;0
87-MED1055;80366;iPhone X;256;Silver;Grade B;0
87-PRE1048;80360;iPhone X;64;Grey;Grade A;2
87-PRE1049;80370;iPhone X;256;Grey;Grade A;1
87-PRE1050;80355;iPhone X;64;Silver;Grade A;0
87-PRE1051;80365;iPhone X;256;Silver;Grade A;0
88-BAS1074;79745;Galaxy S8 G950F;64;Grey;Grade C;0
88-BAS1075;79733;Galaxy S8 G950F;64;Black;Grade C;0
88-BAS1076;80537;Galaxy S8 G950F;64;Blue;Grade C;0
88-BAS1077;80532;Galaxy S8 G950F;64;Pink;Grade C;0
88-BAS1078;79757;Galaxy S8 G950F;64;Silver;Grade C;0
88-ECO1079;79744;Galaxy S8 G950F;64;Grey;Grade D;0
88-ECO1080;79737;Galaxy S8 G950F;64;Black;Grade D;0
88-ECO1081;80536;Galaxy S8 G950F;64;Blue;Grade D;0
88-ECO1082;80531;Galaxy S8 G950F;64;Pink;Grade D;0
88-ECO1083;79758;Galaxy S8 G950F;64;Silver;Grade D;0
88-MED1069;79746;Galaxy S8 G950F;64;Grey;Grade B;0
88-MED1070;79731;Galaxy S8 G950F;64;Black;Grade B;0
88-MED1071;80538;Galaxy S8 G950F;64;Blue;Grade B;0
88-MED1072;80533;Galaxy S8 G950F;64;Pink;Grade B;0
88-MED1073;79756;Galaxy S8 G950F;64;Silver;Grade B;0
88-PRE1064;79747;Galaxy S8 G950F;64;Grey;Grade A;0
88-PRE1065;79730;Galaxy S8 G950F;64;Black;Grade A;0
88-PRE1066;80539;Galaxy S8 G950F;64;Blue;Grade A;0
88-PRE1067;80534;Galaxy S8 G950F;64;Pink;Grade A;0
88-PRE1068;79755;Galaxy S8 G950F;64;Silver;Grade A;0
89-BAS1094;79775;Galaxy S8 Plus G955F;64;Grey;Grade C;0
89-BAS1095;79767;Galaxy S8 Plus G955F;64;Black;Grade C;0
89-BAS1096;80547;Galaxy S8 Plus G955F;64;Blue;Grade C;92
89-BAS1097;80542;Galaxy S8 Plus G955F;64;Pink;Grade C;0
89-BAS1098;79787;Galaxy S8 Plus G955F;64;Silver;Grade C;0
89-ECO1099;79774;Galaxy S8 Plus G955F;64;Grey;Grade D;0
89-ECO1100;79768;Galaxy S8 Plus G955F;64;Black;Grade D;0
89-ECO1101;80546;Galaxy S8 Plus G955F;64;Blue;Grade D;24
89-ECO1102;80541;Galaxy S8 Plus G955F;64;Pink;Grade D;0
89-ECO1103;79788;Galaxy S8 Plus G955F;64;Silver;Grade D;0
89-MED1089;79776;Galaxy S8 Plus G955F;64;Grey;Grade B;0
89-MED1090;79766;Galaxy S8 Plus G955F;64;Black;Grade B;0
89-MED1091;80548;Galaxy S8 Plus G955F;64;Blue;Grade B;56
89-MED1092;80543;Galaxy S8 Plus G955F;64;Pink;Grade B;0
89-MED1093;79786;Galaxy S8 Plus G955F;64;Silver;Grade B;0
89-PRE1084;79777;Galaxy S8 Plus G955F;64;Grey;Grade A;0
89-PRE1085;79764;Galaxy S8 Plus G955F;64;Black;Grade A;0
89-PRE1086;80549;Galaxy S8 Plus G955F;64;Blue;Grade A;0
89-PRE1087;80544;Galaxy S8 Plus G955F;64;Pink;Grade A;0
89-PRE1088;79784;Galaxy S8 Plus G955F;64;Silver;Grade A;0
90-BAS1106;78240;Apple Watch Serie 1 Aluminium 38 MM;16;Silver;Grade C;8
90-BAS1309;78245;Apple Watch Serie 1 Aluminium 42 MM;16;Silver;Grade C;0
90-ECO1107;78241;Apple Watch Serie 1 Aluminium 38 MM;16;Silver;Grade D;2
90-ECO1310;78246;Apple Watch Serie 1 Aluminium 42 MM;16;Silver;Grade D;3
90-MED1105;78239;Apple Watch Serie 1 Aluminium 38 MM;16;Silver;Grade B;0
90-MED1308;78244;Apple Watch Serie 1 Aluminium 42 MM;16;Silver;Grade B;0
90-PRE1104;78238;Apple Watch Serie 1 Aluminium 38 MM;16;Silver;Grade A;0
90-PRE1311;78243;Apple Watch Serie 1 Aluminium 42 MM;16;Silver;Grade A;0
91-BAS1110;78260;Apple Watch Serie 2 Aluminium (sport) 38 MM;16;Silver;Grade C;0
91-BAS1305;78255;Apple Watch Serie 2 Aluminium (sport) 42 MM;16;Silver;Grade C;14
91-ECO1111;78256;Apple Watch Serie 2 Aluminium (sport) 42 MM;16;Silver;Grade D;3
91-ECO1306;78261;Apple Watch Serie 2 Aluminium (sport) 38 MM;16;Silver;Grade D;0
91-MED1109;78259;Apple Watch Serie 2 Aluminium (sport) 38 MM;16;Silver;Grade B;0
91-MED1304;78254;Apple Watch Serie 2 Aluminium (sport) 42 MM;16;Silver;Grade B;0
91-PRE1108;78257;Apple Watch Serie 2 Aluminium (sport) 38 MM;16;Silver;Grade A;0
91-PRE1307;78253;Apple Watch Serie 2 Aluminium (sport) 42 MM;16;Silver;Grade A;0
92-BAS1114;78270;Apple Watch Serie 2 Nike + 38 MM;16;Black;Grade C;0
92-BAS1301;78275;Apple Watch Serie 2 Nike + 42 MM;16;Black;Grade C;0
92-ECO1115;78271;Apple Watch Serie 2 Nike + 38 MM;16;Black;Grade D;0
92-ECO1302;78276;Apple Watch Serie 2 Nike + 42 MM;16;Black;Grade D;0
92-MED1113;78269;Apple Watch Serie 2 Nike + 38 MM;16;Black;Grade B;0
92-MED1300;78274;Apple Watch Serie 2 Nike + 42 MM;16;Black;Grade B;0
92-PRE1112;78268;Apple Watch Serie 2 Nike + 38 MM;16;Black;Grade A;0
92-PRE1303;78273;Apple Watch Serie 2 Nike + 42 MM;16;Black;Grade A;0
94-BAS1118;78250;Apple Watch Serie 2 stainless steel 38 MM;16;Silver;Grade C;15
94-BAS1297;78265;Apple Watch Serie 2 stainless steel 42MM;16;Silver;Grade C;17
94-ECO1119;78251;Apple Watch Serie 2 stainless steel 38 MM;16;Silver;Grade D;5
94-ECO1298;78266;Apple Watch Serie 2 stainless steel 42MM;16;Silver;Grade D;2
94-MED1117;78249;Apple Watch Serie 2 stainless steel 38 MM;16;Silver;Grade B;0
94-MED1296;78264;Apple Watch Serie 2 stainless steel 42MM;16;Silver;Grade B;0
94-PRE1116;78248;Apple Watch Serie 2 stainless steel 38 MM;16;Silver;Grade A;0
94-PRE1299;78263;Apple Watch Serie 2 stainless steel 42MM;16;Silver;Grade A;0
95-BAS1122;78220;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Silver;Grade C;0
95-BAS1293;78225;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Silver;Grade C;0
95-ECO1123;78221;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Silver;Grade D;0
95-ECO1294;78226;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Silver;Grade D;0
95-MED1121;78219;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Silver;Grade B;0
95-MED1292;78224;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Silver;Grade B;0
95-PRE1120;78218;Apple Watch 1st Generation Aluminium (sport) 38 MM;16;Silver;Grade A;0
95-PRE1295;78223;Apple Watch 1st Generation Aluminium (sport) 42 MM;16;Silver;Grade A;0
96-BAS1126;78230;Apple Watch 1st Generation Stainless Steel 38 MM;16;Silver;Grade C;0
96-BAS1289;78235;Apple Watch 1st Generation Stainless Steel 42 MM;16;Silver;Grade C;0
96-ECO1127;78231;Apple Watch 1st Generation Stainless Steel 38 MM;16;Silver;Grade D;3
96-ECO1290;78236;Apple Watch 1st Generation Stainless Steel 42 MM;16;Silver;Grade D;12
96-MED1125;78229;Apple Watch 1st Generation Stainless Steel 38 MM;16;Silver;Grade B;0
96-MED1288;78234;Apple Watch 1st Generation Stainless Steel 42 MM;16;Silver;Grade B;0
96-PRE1124;78228;Apple Watch 1st Generation Stainless Steel 38 MM;16;Silver;Grade A;0
96-PRE1291;78233;Apple Watch 1st Generation Stainless Steel 42 MM;16;Silver;Grade A;0
